lorry,[‘lɔ:ri],重型卡车,,
truck,[trʌk],卡车,,
bus,[bʌs],公共汽车,,
coach,[kəutʃ],四轮大马车,,
van,[væn],厢式货车,,
taxi,[‘tæksi],出租车,,
subway,[‘sʌbwei],地铁,,
railway,[‘reilwei],铁路,,
train,[trein],火车,,
locomotive,[‘ləukə məutiv],火车头 机车,,
express,[ik’spres],快客列车 快车,,
boat,[bəut],小船,,
ship,[ʃip],船,,
yacht,[jɔt],游艇,,
vessel,[‘vesəl],大船,,
warship,[‘wɔ:ʃip],军舰 战船,,
aeroplane,[‘εərəplein],飞机,,
plane,[plein],飞机,,
aircraft,[‘εəkra:ft],飞机,,
airplane,[‘εəplein],飞机,,
jet,[dʒet],喷气式飞机,,
spaceship,[speisʃip],宇宙飞船,,
space shuttle,[spies 'ʃʌtl],航天飞机,,
helicopter,[‘helikɔptə],直升飞机,,
season,['si:zən],四季,,
meridiem,[mə'ridi:əm],正午,,
A.M.,[],上午,,
morning,[],上午,,
P.M.,[],下午,,
afternoon,[],下午,,
spring,[spriŋ],春天,,
summer,['sʌmə],夏天,,
fall,[fɔ:l],秋天,,
winter,['wintə],冬天,,
yesterday,['jestədi -dei],昨天,,
tomorrow,[tə'mɔrəu],明天,,
Monday,['mʌndi],周一,,
Tuesday,['tju:zdi -dei],周二,,
Wednesday,['wenzdi -dei],周三,,
Thursday,['θə:zdi -dei],周四,,
Friday,['fraidi],周五,,
Saturday,['sætədi -dei],周六,,
Sunday,['sʌndei],星期天,,
weekend,[wi:k'end],周末,,
January,['dʒænjuəri],一月,,
February,['februəri],二月,,
March,[ma:tʃ],三月,,
April,['eiprəl],四月,,
May,[mei],五月,,
June,[dʒu:n],六月,,
July,[dʒu:'lai],七月,,
August,[ɔ:'gʌst],八月,,
September,[sep'tembə],九月,,
October,[ɔk'təubə],十月,,
November,[nəu'vembə],十一月,,
December,[di'sembə],十二月,,
nutrition,[nju:’triʃən],营养,,
appetite,[‘æpitait],胃口,,
hunger,[‘hʌŋgə],饥饿,,
thirst,[θə:st],口渴,,
hungry,[‘hʌŋgri],饥饿的,,
thirsty,[‘θə:sti],口渴的,,
gluttony,[‘glʌtəni],暴食,,
greed,[gri:d],贪嘴,,
overfeeding,[],吃得过多,,
diet,[‘daiət],食谱,,
banquet,[‘bæŋkwit],宴会,,
breakfast,[‘brekfəst],早餐,,
lunch,[lʌntʃ],午餐,,
dinner,[‘dinə],正餐,,
supper,[‘sʌpə],晚饭,,
Soup,[su:p],汤,,
entree,[‘ɔntrei],正菜,,
dessert,[di’zə:t],甜点,,
snack,[snæk],点心小吃,,
can,[kæn],罐头,,
tin,[tin],听 罐头,,
fruit,[fru:t],水果,,
vegetable,[‘vedʒitəbl],蔬菜,,
beancurd,['bi:nkə:d],豆腐,,
crisp,[krisp],炸土豆片,,
chips,[tʃips],炸薯条,,
milk,[milk],奶,,
egg,[eg],蛋,,
spice,[spais],调料,,
salt,[sɔ:lt],盐,,
vinegar,[‘vinigə],醋,,
sauce,[sɔ:s],酱油,,
oil,[ɔil],油,,
salad,['sæləd],色拉,,
salad oil,[],色拉油,,
pepper,[‘pepə],辣椒 胡椒,,
mustard,[‘mʌstəd],芥末,,
clove,[kləuv],丁香,,
cheese,[tʃi:z],奶酪,,
butter,[‘bʌtə],奶油,,
noodle,[‘nu:dl],面条,,
rice,[rais],米饭,,
loaf,[ləuf],长面包,,
biscuit,[‘biskit],饼干 小甜品,,
cracker,['krækə],饼干（美）,,
Pizza,['pi:tsə],比萨饼,,
bread,[bred],面包,,
crust,[krʌst],面包皮,,
cake,[keik],蛋糕,,
cookie,[‘kuki],甜饼干 曲奇饼,,
mooncake,[‘mu:nkeik],月饼,,
pie,[pai],馅饼,,
hamburg,[hæmbə:g],汉堡包,,
pancake,['pænkeik],薄煎饼,,
sandwich,['sænwidʒ],三明治,,
meteorology,mi:tiə'rɔlədʒi],气象学,,
atmosphere,[ætmə sfiə],大气,,
climate,[‘klaimit],气候,,
weather,[‘weðə],天气,,
fine,[fain],晴天,,
sunny,[‘sʌni],晴朗的,,
rainy,[‘reini],下雨的,,
dull,[dʌl],阴天的 多云的,,
windy,[‘windi],刮风的,,
temperature,[‘tempəritʃə],气温 温度,,
season,[‘si:zən],季节 四季,,
spring,[spriŋ],春天,,
summer,[‘sʌmə],夏天,,
autumn,[‘ɔ:təm],秋天,,
fall,[fɔ:l],（美）秋天 秋季,,
winter,[‘wintə],冬天 冬季,,
frost,[frɔst],霜,,
hail,[heil],冰雹,,
snow,[snəu],雪,,
thunder,[‘θʌndə],雷,,
wind,[wind],风,,
mist,[mist],薄雾,,
cloud,[klaud],云 阴云,,
haze,[heiz],阴霾 薄雾,,
rain,[rein],雨,,
downpəur,[‘daunpɔ:],暴雨,,
shower,[‘ʃauə],阵雨,,
storm,[stɔ:m],暴风雨 风暴,,
lightning,[‘laitniŋ],闪电,,
hurricane,[‘hʌrikən],暴风,,
cyclone,[‘saikləun],旋风,,
typhoon,[tai’fu:n],台风,,
tornado,[tɔ:’neidəu],龙卷风,,
gale,[geil],季节风 大风,,
breeze,[bri:z],微风,,
monsoon,[mɔn'su:n],季风,,
fog,[fɔg],浓雾,,
dew,[dju: du:],露水,,
humidity,[hju:’midəti],潮湿,,
freeze,[fri:z],冰冻,,
drought,[draut],干旱,,
rainbow,[‘reinbəu],彩虹,,
flood,[flʌd],洪水,,
tide,[taid],潮汐 潮水,,
earthquake,[ə:θkweik],地震,,
sunlight,[‘sʌnlait],阳光 日光,,
sunshine,[‘sʌnʃain],阳光,,
tea,[ti:],茶,,
coffee,['kɔfi],咖啡,,
juice,[dʒu:s],果汁,,
wine,[wain],葡萄酒,,
beverage,['bevəridʒ],饮料,,
drink,[driŋk],酒 饮料,,
mineral water,['minərəl 'wɔ:tə],矿泉水,,
lemonade,[lemə’neid],柠檬水,,
beer,[biə],啤酒,,
claret,[‘klærət],红葡萄酒,,
cider,[‘saidə],苹果酒,,
